,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.063718624,-0.05131931,-0.04399956,0.22365156,-0.28259882,-0.20223188,-0.19330989,-0.1495082,0.060344312,0.13468982,-0.24094972,-0.14283209,-0.19480917,-0.18949215,-0.15727374,-0.27837366,-0.1038484,-0.1507303,-0.18094295,-0.061593227,0.13282527,0.08695715,-0.1528693,-0.16592127,-0.05764837,-0.046473403,-0.16778968,-0.28254595,0.03231471,-0.16787848,-0.03405343,-0.19667076,-0.1250496,-0.16895401,-0.06981644,-0.0058820187,-0.22896227,-0.33598897,-0.2254016,-0.090530604
1,-0.071677245,-0.5409977,-0.15639505,0.82017064,-0.33332375,-0.30480078,0.32092392,0.0464514,-0.2624948,0.18479672,-0.0918522,-0.008904901,0.3486708,0.023927376,-0.4073742,-0.3049977,0.14103532,0.08750085,-0.27486596,-0.21519408,0.0065483055,0.026015533,0.52088314,0.47142467,-0.067722075,-0.45572934,-0.53436136,-0.004921023,0.104855925,0.118649825,-0.22698015,-0.40475544,-0.15992491,0.021576459,0.19065857,0.08745864,-0.008530109,-0.36853948,0.08996787,-0.31399742
2,0.30484805,0.26358795,-0.17708078,0.6601549,0.054328837,0.30082226,-0.31477037,-0.069692336,0.96716857,0.78819793,-0.13325651,-0.048309676,-0.24866126,0.042030696,0.26032406,0.29258305,-0.19901401,0.34921533,-0.057150558,0.15165228,0.02976222,-0.18874873,-0.22092374,-0.1516197,0.09345384,-0.118246324,0.34624493,0.004527654,0.9128854,-0.04312941,0.1932999,0.1922469,0.02230698,0.04861819,0.11939333,-0.30612856,0.08197549,0.2721179,-0.09293202,-0.14084722
3,0.29935807,0.19028305,0.024610149,0.40625295,0.019543808,-0.17163676,-0.35449895,-0.11648251,0.27806932,-0.16757315,-0.25811926,-0.10874662,-0.33083978,-0.091430366,0.26790947,0.06439095,-0.31626466,0.10734065,0.089876905,-0.15811239,-0.1765485,-0.15407175,-0.21997765,-0.3078191,-0.07210183,-0.059256658,0.18045418,-0.12578991,0.4369473,-0.12383178,0.058840487,0.23131165,0.090820156,-0.030579325,0.07025252,-0.14162673,0.07259797,0.26732776,-0.16025786,0.12106846
4,0.60843855,0.005947251,-0.05394722,0.47989368,-0.23170488,0.037973788,-0.3125698,-0.52448833,0.42167336,0.2572782,-0.4665571,-0.137929,-0.36665305,-0.081179485,-0.22461392,-0.16988772,-0.3127071,0.0020547626,-0.0708154,-0.24087758,0.07649318,-0.15957583,-0.368665,-0.5456224,-0.13266863,0.1031909,0.07422624,0.0192281,0.23477834,-0.27463222,0.16981389,-0.0066216886,-0.18829359,-0.07663496,-0.21041477,0.12363596,-0.33064407,-0.1968891,-0.41946888,0.17750588
5,-0.07802345,-0.3725929,-6.921476e-05,0.5714188,-0.48392057,-0.33564046,-0.012246071,-0.315547,0.17494707,-0.100577265,-0.24963836,-0.14502047,-0.24521989,-0.42815614,-0.24835959,-0.22063698,-0.17829058,0.19309662,-0.29629874,-0.30563304,-0.18181086,-0.12244656,0.033087477,0.20800611,-0.29742706,-0.058248777,-0.15580784,-0.21703649,-0.1044563,-0.19823347,-0.1668458,-0.07059229,-0.06798231,-0.23422474,-0.14282757,-0.33147147,-0.11565201,-0.3952319,-0.16974887,-0.03963291
6,-0.722149,-0.13264138,0.08616714,-0.54763186,0.39369035,0.03896657,0.42351893,0.12182623,-0.9617615,-0.3920678,0.43586597,0.14685579,0.33997983,0.30735284,-0.34499896,-0.18899387,0.21406204,-0.31649643,0.2796044,0.485228,-0.16679792,0.14702986,0.40451565,0.25039983,0.40556502,-0.45019132,-0.17512359,0.0022904552,-0.8443816,-0.11377471,-0.62162423,0.080049805,0.15360285,0.19631484,0.25728443,-0.17411776,0.027872369,-0.11866054,0.25572872,-0.24459448
7,0.9616877,-0.32479098,-0.0075755916,1.1843215,-0.49326032,-0.0328349,-0.53722954,-0.29222313,0.74140424,0.46725225,-0.48022476,-0.39507183,-0.29821813,-0.60423636,-0.054039657,-0.41406715,-0.20820801,0.6018057,-0.19649929,-0.47630012,-0.119266875,0.07879318,-0.24007262,-0.09657151,-0.033184644,-0.14553493,-0.27694315,-0.20006274,0.9233868,-0.4767407,0.6944072,-0.29068407,-0.29940414,0.08156657,-0.20789136,-0.052677993,-0.5486848,-0.5258745,-0.43523106,0.1744099
8,-0.26000014,-0.4556273,0.025460837,1.0363544,-0.28375897,0.0062276633,0.33754438,0.16968644,-0.30433348,0.07600413,0.015605181,-0.10874933,0.16382962,-0.17254084,-0.20349805,-0.22929822,0.22379047,0.24197274,-0.016078245,-0.1864285,0.0629766,0.022452336,0.5734228,0.49477872,0.24289308,-0.35414714,-0.52594495,0.030435601,0.24909107,0.21395773,0.014223082,-0.22546367,-0.23263897,0.16332132,0.05674611,0.053279288,-0.16460502,-0.30448815,0.19204018,-0.38334063
9,0.7816061,0.11827959,-0.1669896,0.69902897,-0.30248255,0.129878,-0.3255759,-0.3909834,0.5958355,0.4868081,-0.33083293,-0.17575647,-0.07349876,-0.047294516,-0.03750619,-0.1261784,-0.15093975,0.24504687,0.024279643,-0.27264306,0.13084616,0.056734875,-0.24153244,-0.22788174,-0.2990772,0.26423043,-0.12717126,0.16827643,0.81709707,-0.22630651,0.36065835,-0.09647249,-0.2580811,-0.048755597,-0.053592708,0.06709629,-0.08482974,-0.08571706,-0.1265847,0.1496079
10,-0.048364826,-0.026664162,-0.096913554,-0.24596137,0.24446872,0.004220589,0.14390348,0.024495475,-0.07466624,-0.35036778,0.023567405,-0.041324176,0.031761147,0.24905305,-0.48365623,-0.13736852,-0.017527463,-0.07037228,0.25477788,0.3398888,0.09605942,0.11858886,0.12227918,-0.06601546,0.23250395,-0.028043801,0.0044313394,-0.16885258,-0.5636564,-0.11039274,0.05086187,0.21962671,0.17036036,0.099886194,0.31351903,-0.27842772,-0.15267569,-0.3056698,0.11402898,0.14450978
11,-0.12948781,-0.048709713,-0.15692276,-0.16256821,0.23888382,0.18861115,0.034054026,-0.06760678,-0.26487526,-0.11394703,0.006438527,0.062683456,0.017590728,0.22521941,-0.10407665,-0.05720532,0.113426104,-0.03308375,0.01653581,-0.05672646,0.024355453,0.085977815,0.17295823,0.14545971,-0.0039012178,0.28626415,0.1361657,-0.034090523,-0.15822634,0.01672263,-0.24581163,-0.0623543,0.022907373,0.035826698,0.09105228,0.19344716,-0.03521863,0.0113587035,-0.0401264,-0.035944615
12,0.7407525,-0.015630884,-0.039183013,0.8256235,-0.3127136,0.002457184,-0.23989956,-0.114175074,0.5091813,0.5749821,-0.18712476,0.025180247,-0.25631872,-0.048799857,-0.13955964,-0.17996156,-0.1400151,0.31349707,-0.05008822,-0.40362248,-0.005147223,-0.14910246,0.004897513,0.07840065,-0.16497925,0.40193814,-0.18906426,0.08807856,0.82653606,-0.2282209,0.81831914,-0.08970278,-0.15244891,-0.002392832,0.018064579,0.020018753,-0.27736688,-0.061331656,-0.2589494,0.05429058
13,0.22523963,0.02484506,0.037328403,0.033312764,0.17485471,0.16006736,-0.06737848,-0.16587988,0.17447011,0.041166767,-0.1289972,-0.08090547,-0.096862994,-0.023402397,-0.11785457,0.123611055,-0.013363492,0.06903902,-0.040227447,-0.02416665,-0.0378876,0.098651886,-0.07100916,-0.26686287,0.017355878,0.1592545,0.2333522,0.035444204,-0.2260841,-0.18276286,0.01281314,0.06379302,-0.12597708,0.016193584,-0.16221862,-0.09152476,-0.013202447,-0.12440494,-0.15533929,0.030751059
14,-0.15135065,-0.115482494,-0.11662562,-0.39900488,-0.21904041,-0.20283066,-0.20767166,-0.13390318,-0.004732163,-0.41195792,-0.1671728,-0.20935193,-0.113517776,-0.28693938,-0.259736,-0.17390783,-0.3071996,-0.39392823,-0.24476297,-0.033111606,0.05306474,0.04954795,-0.0836952,-0.33724302,-0.06846838,-0.096282214,-0.24708945,-0.2761164,-0.15668222,-0.14826421,0.021672644,0.009757769,-0.18660592,-0.25992048,-0.17488201,-0.1890999,-0.27273396,-0.116434515,-0.033398423,-0.14166892
